Cod;Descrição;Qtde;Grupo;Cor;DT_COMP;VL_COMP;VL_UNIT;PORC_VEN;VL_LUCRO;VL_VEND_UNI;VL_VEND_TOT;Vendeu;DT_VENDA;QTD_VEND
1;Grampeador;2;Grampeadores;Roxo;14/11/2023; R$16,00 ; R$8,00 ;50; R$4,00 ; R$12,00 ; R$24,00 ;;;
2;Grampeador;2;Grampeadores;Verde;14/11/2023; R$16,00 ; R$8,00 ;50; R$4,00 ; R$12,00 ; R$24,00 ;;;
3;Cola Bastão Pata de Gato;3;Colas;Mista;14/11/2023; R$15,00 ; R$5,00 ;120; R$6,00 ; R$11,00 ; R$33,00 ;;;
4;Marca Texto Pata de Gato;1;Marcadores;Mista;14/11/2023; R$12,00 ; R$12,00 ;25; R$3,00 ; R$15,00 ; R$15,00 ;;;
5;Marca Texto Astronauta;1;Marcadores;Mista;14/11/2023; R$12,00 ; R$12,00 ;25; R$3,00 ; R$15,00 ; R$15,00 ;;;
6;Mini Estilete Foguete;12;Estiletes;Mista;14/11/2023; R$24,00 ; R$2,00 ;250; R$5,00 ; R$7,00 ; R$84,00 ;;;
7;Estojo Ziper Astronauta;2;Estojos;Azul;14/11/2023; R$50,00 ; R$25,00 ;80; R$20,00 ; R$45,00 ; R$90,00 ;;;
8;Estojo Ziper Unicornio;1;Estojos;Roxo;14/11/2023; R$25,00 ; R$25,00 ;80; R$20,00 ; R$45,00 ; R$45,00 ;;;
9;Estojo Ziper Unicornio;1;Estojos;Rosa;14/11/2023; R$25,00 ; R$25,00 ;100; R$25,00 ; R$50,00 ; R$50,00 ;;;
10;Estojo Automático Astronauta;2;Estojos;Azul;14/11/2023; R$40,00 ; R$20,00 ;100; R$20,00 ; R$40,00 ; R$80,00 ;;;
11;Estojo Automático;2;Estojos;Rosa;14/11/2023; R$40,00 ; R$20,00 ;75; R$15,00 ; R$35,00 ; R$70,00 ;;;
12;Cola Bastão Astronauta;16;Colas;Mista;14/11/2023; R$84,00 ; R$5,25 ;128,5; R$6,75 ; R$12,00 ; R$191,94 ;;;
13;Borracha de Marmita;2;Borrachas;Mista;14/11/2023; R$24,00 ; R$12,00 ;66,6; R$7,99 ; R$19,99 ; R$39,98 ;;;
14;Caneta Lanche;12;Canetas;Mista;14/11/2023; R$18,00 ; R$1,50 ;233; R$3,50 ; R$5,00 ; R$59,94 ;;;
15;Caneta Hary Potther;12;Canetas;Mista;14/11/2023; R$18,00 ; R$1,50 ;233; R$3,50 ; R$5,00 ; R$59,94 ;;;
16;Caneta Groot;12;Canetas;Mista;14/11/2023; R$18,00 ; R$1,50 ;233; R$3,50 ; R$5,00 ; R$59,94 ;;;
17;Caneta Super Mario B.;12;Canetas;Mista;14/11/2023; R$18,00 ; R$1,50 ;233; R$3,50 ; R$5,00 ; R$59,94 ;;;
18;Caneta Naruto;12;Canetas;Mista;14/11/2023; R$18,00 ; R$1,50 ;233; R$3,50 ; R$5,00 ; R$59,94 ;;;
